epoch, wall_time, smooth_loss, train_loss, val_loss,
81, 1.29210e+03, 8.59180e+00, 8.59208e+00, 8.62170e+00,
82, 1.30791e+03, 8.59247e+00, 8.59131e+00, 8.61150e+00,
83, 1.32372e+03, 8.59343e+00, 8.59470e+00, 8.62362e+00,
84, 1.33953e+03, 8.59248e+00, 8.59360e+00, 8.61760e+00,
85, 1.35533e+03, 8.59363e+00, 8.58658e+00, 8.61790e+00,
86, 1.37113e+03, 8.59234e+00, 8.59003e+00, 8.62302e+00,
87, 1.38694e+03, 8.59106e+00, 8.59002e+00, 8.61411e+00,
88, 1.40274e+03, 8.59350e+00, 8.59749e+00, 8.61094e+00,
89, 1.41855e+03, 8.59312e+00, 8.59552e+00, 8.62293e+00,
90, 1.43436e+03, 8.59229e+00, 8.59496e+00, 8.62405e+00,
91, 1.45017e+03, 8.59388e+00, 8.58990e+00, 8.62032e+00,
92, 1.46599e+03, 8.59321e+00, 8.59305e+00, 8.61651e+00,
93, 1.48181e+03, 8.59434e+00, 8.59475e+00, 8.61485e+00,
94, 1.49764e+03, 8.59418e+00, 8.59227e+00, 8.61223e+00,
95, 1.51346e+03, 8.59318e+00, 8.59132e+00, 8.60836e+00,
96, 1.52926e+03, 8.59236e+00, 8.58934e+00, 8.61062e+00,
97, 1.54507e+03, 8.59301e+00, 8.58917e+00, 8.62677e+00,
98, 1.56088e+03, 8.59172e+00, 8.58979e+00, 8.61570e+00,
99, 1.57669e+03, 8.59120e+00, 8.59260e+00, 8.62073e+00,
100, 1.59250e+03, 8.59054e+00, 8.58771e+00, 8.62034e+00,
101, 1.60832e+03, 8.59046e+00, 8.59284e+00, 8.60858e+00,
102, 1.62414e+03, 8.59062e+00, 8.59050e+00, 8.62062e+00,
103, 1.63998e+03, 8.59160e+00, 8.58991e+00, 8.62447e+00,
104, 1.65578e+03, 8.59224e+00, 8.59011e+00, 8.61531e+00,
105, 1.67159e+03, 8.59175e+00, 8.59017e+00, 8.62498e+00,
106, 1.68741e+03, 8.59021e+00, 8.59187e+00, 8.61736e+00,
107, 1.70322e+03, 8.58975e+00, 8.59158e+00, 8.61675e+00,
108, 1.71904e+03, 8.59153e+00, 8.59053e+00, 8.60804e+00,
109, 1.73486e+03, 8.58942e+00, 8.58839e+00, 8.61924e+00,
110, 1.75069e+03, 8.58857e+00, 8.59209e+00, 8.62603e+00,
111, 1.76649e+03, 8.58924e+00, 8.59100e+00, 8.61937e+00,
112, 1.78229e+03, 8.59052e+00, 8.59071e+00, 8.61338e+00,
113, 1.79812e+03, 8.58926e+00, 8.59020e+00, 8.61459e+00,
114, 1.81394e+03, 8.59225e+00, 8.59278e+00, 8.60711e+00,
115, 1.82973e+03, 8.59104e+00, 8.59087e+00, 8.61839e+00,
116, 1.84553e+03, 8.59083e+00, 8.59130e+00, 8.61655e+00,
117, 1.86135e+03, 8.58957e+00, 8.59019e+00, 8.61597e+00,
118, 1.87716e+03, 8.58909e+00, 8.59157e+00, 8.61994e+00,
119, 1.89298e+03, 8.58913e+00, 8.59251e+00, 8.62166e+00,
120, 1.90877e+03, 8.58997e+00, 8.58989e+00, 8.60883e+00,
121, 1.92456e+03, 8.59015e+00, 8.58560e+00, 8.61693e+00,
122, 1.94037e+03, 8.58898e+00, 8.59136e+00, 8.61399e+00,
123, 1.95619e+03, 8.59193e+00, 8.58938e+00, 8.61770e+00,
124, 1.97200e+03, 8.59293e+00, 8.59026e+00, 8.61918e+00,
125, 1.98780e+03, 8.59151e+00, 8.58578e+00, 8.63074e+00,
126, 2.00362e+03, 8.59229e+00, 8.58973e+00, 8.62231e+00,
127, 2.01943e+03, 8.59269e+00, 8.58929e+00, 8.60677e+00,
128, 2.03523e+03, 8.59034e+00, 8.58884e+00, 8.60182e+00,
129, 2.05105e+03, 8.59129e+00, 8.59356e+00, 8.62464e+00,
130, 2.06686e+03, 8.59135e+00, 8.59103e+00, 8.62749e+00,
131, 2.08270e+03, 8.59119e+00, 8.58854e+00, 8.61248e+00,
132, 2.09850e+03, 8.58942e+00, 8.59197e+00, 8.62215e+00,
133, 2.11432e+03, 8.59037e+00, 8.58955e+00, 8.61036e+00,
134, 2.13012e+03, 8.59002e+00, 8.58863e+00, 8.61377e+00,
135, 2.14594e+03, 8.59056e+00, 8.58613e+00, 8.61654e+00,
136, 2.16173e+03, 8.59009e+00, 8.58985e+00, 8.60733e+00,
137, 2.17756e+03, 8.58902e+00, 8.58746e+00, 8.61479e+00,
138, 2.19338e+03, 8.59103e+00, 8.58787e+00, 8.61726e+00,
139, 2.20920e+03, 8.59105e+00, 8.59081e+00, 8.61269e+00,
140, 2.22502e+03, 8.58979e+00, 8.58969e+00, 8.61252e+00,
141, 2.24083e+03, 8.58910e+00, 8.59044e+00, 8.60286e+00,
142, 2.25668e+03, 8.58862e+00, 8.59247e+00, 8.61780e+00,
143, 2.27251e+03, 8.59125e+00, 8.59136e+00, 8.60907e+00,
144, 2.28832e+03, 8.59002e+00, 8.58616e+00, 8.61510e+00,
145, 2.30414e+03, 8.59039e+00, 8.58893e+00, 8.61027e+00,
146, 2.31995e+03, 8.58945e+00, 8.58591e+00, 8.61356e+00,
147, 2.33575e+03, 8.58836e+00, 8.58948e+00, 8.61162e+00,
148, 2.35154e+03, 8.58935e+00, 8.59116e+00, 8.61885e+00,
149, 2.36737e+03, 8.58951e+00, 8.58755e+00, 8.61899e+00,
150, 2.38320e+03, 8.59073e+00, 8.58726e+00, 8.61589e+00,
151, 2.39901e+03, 8.58962e+00, 8.59231e+00, 8.61159e+00,
152, 2.41483e+03, 8.59098e+00, 8.58814e+00, 8.62757e+00,
153, 2.43065e+03, 8.59150e+00, 8.58804e+00, 8.62157e+00,
154, 2.44648e+03, 8.58900e+00, 8.59122e+00, 8.61222e+00,
155, 2.46229e+03, 8.58822e+00, 8.58803e+00, 8.62118e+00,
156, 2.47812e+03, 8.58671e+00, 8.59336e+00, 8.62043e+00,
157, 2.49393e+03, 8.58751e+00, 8.58899e+00, 8.62203e+00,
158, 2.50973e+03, 8.58627e+00, 8.58829e+00, 8.60352e+00,
159, 2.52554e+03, 8.58550e+00, 8.58529e+00, 8.61857e+00,
160, 2.54138e+03, 8.58429e+00, 8.58569e+00, 8.61771e+00,
161, 2.55718e+03, 8.58418e+00, 8.59233e+00, 8.60258e+00,
162, 2.57299e+03, 8.58779e+00, 8.58918e+00, 8.61018e+00,
163, 2.58880e+03, 8.58824e+00, 8.59045e+00, 8.61579e+00,
164, 2.60461e+03, 8.58973e+00, 8.58839e+00, 8.62535e+00,
165, 2.62043e+03, 8.59065e+00, 8.58996e+00, 8.61931e+00,
166, 2.63624e+03, 8.59111e+00, 8.59203e+00, 8.61203e+00,
167, 2.65205e+03, 8.59181e+00, 8.59172e+00, 8.61446e+00,
168, 2.66786e+03, 8.58981e+00, 8.58910e+00, 8.61632e+00,
169, 2.68369e+03, 8.59030e+00, 8.59288e+00, 8.61683e+00,
170, 2.69951e+03, 8.58907e+00, 8.58927e+00, 8.61351e+00,
171, 2.71531e+03, 8.58904e+00, 8.59068e+00, 8.62048e+00,
172, 2.73113e+03, 8.58692e+00, 8.58636e+00, 8.61040e+00,
173, 2.74696e+03, 8.58633e+00, 8.58946e+00, 8.61663e+00,
174, 2.76279e+03, 8.58678e+00, 8.58508e+00, 8.62299e+00,
175, 2.77863e+03, 8.58862e+00, 8.58950e+00, 8.60855e+00,
176, 2.79446e+03, 8.58966e+00, 8.58863e+00, 8.62793e+00,
177, 2.81028e+03, 8.58940e+00, 8.58702e+00, 8.61759e+00,
178, 2.82609e+03, 8.58875e+00, 8.59020e+00, 8.61811e+00,
179, 2.84191e+03, 8.58793e+00, 8.58673e+00, 8.61028e+00,
180, 2.85773e+03, 8.58878e+00, 8.59328e+00, 8.61241e+00,
181, 2.87356e+03, 8.58918e+00, 8.58710e+00, 8.61649e+00,
182, 2.88937e+03, 8.58839e+00, 8.58908e+00, 8.61619e+00,
183, 2.90521e+03, 8.58961e+00, 8.58851e+00, 8.61809e+00,
184, 2.92103e+03, 8.58918e+00, 8.59141e+00, 8.61703e+00,
185, 2.93685e+03, 8.58780e+00, 8.58705e+00, 8.61958e+00,
186, 2.95268e+03, 8.58758e+00, 8.59156e+00, 8.61110e+00,
187, 2.96848e+03, 8.58705e+00, 8.58704e+00, 8.62729e+00,
188, 2.98431e+03, 8.58705e+00, 8.58471e+00, 8.60817e+00,
189, 3.00011e+03, 8.58862e+00, 8.59052e+00, 8.62379e+00,
190, 3.01594e+03, 8.58986e+00, 8.58807e+00, 8.61751e+00,
191, 3.03176e+03, 8.59092e+00, 8.58993e+00, 8.61936e+00,
192, 3.04756e+03, 8.59024e+00, 8.59010e+00, 8.62474e+00,
193, 3.06356e+03, 8.58908e+00, 8.58665e+00, 8.61556e+00,
194, 3.07943e+03, 8.58974e+00, 8.58852e+00, 8.60658e+00,
195, 3.09525e+03, 8.59025e+00, 8.59091e+00, 8.61715e+00,
196, 3.11110e+03, 8.58815e+00, 8.58912e+00, 8.61499e+00,
197, 3.12694e+03, 8.58821e+00, 8.58977e+00, 8.61122e+00,
198, 3.14278e+03, 8.58700e+00, 8.58768e+00, 8.61778e+00,
199, 3.15862e+03, 8.58703e+00, 8.58930e+00, 8.61548e+00,
200, 3.17446e+03, 8.58728e+00, 8.58747e+00, 8.61531e+00,
201, 3.19029e+03, 8.58776e+00, 8.58576e+00, 8.61050e+00,
202, 3.20623e+03, 8.58765e+00, 8.58731e+00, 8.61774e+00,
203, 3.22210e+03, 8.58813e+00, 8.58752e+00, 8.61679e+00,
204, 3.23797e+03, 8.58848e+00, 8.58673e+00, 8.61294e+00,
205, 3.25385e+03, 8.58782e+00, 8.58829e+00, 8.61084e+00,
206, 3.26973e+03, 8.58822e+00, 8.58793e+00, 8.60965e+00,
207, 3.28560e+03, 8.58801e+00, 8.59136e+00, 8.60760e+00,
208, 3.30149e+03, 8.58936e+00, 8.58358e+00, 8.62449e+00,
209, 3.31736e+03, 8.58927e+00, 8.58539e+00, 8.60854e+00,
210, 3.33325e+03, 8.58867e+00, 8.58940e+00, 8.60931e+00,
211, 3.34913e+03, 8.58962e+00, 8.58527e+00, 8.61209e+00,
212, 3.36502e+03, 8.58899e+00, 8.59039e+00, 8.60689e+00,
213, 3.38090e+03, 8.58824e+00, 8.58914e+00, 8.61918e+00,
214, 3.39678e+03, 8.58732e+00, 8.59083e+00, 8.61090e+00,
215, 3.41267e+03, 8.58916e+00, 8.58990e+00, 8.61114e+00,
216, 3.42854e+03, 8.58949e+00, 8.58519e+00, 8.61001e+00,
217, 3.44443e+03, 8.58777e+00, 8.59042e+00, 8.62331e+00,
218, 3.46032e+03, 8.58755e+00, 8.58568e+00, 8.60527e+00,
219, 3.47621e+03, 8.58637e+00, 8.58767e+00, 8.61341e+00,
220, 3.49209e+03, 8.58669e+00, 8.58375e+00, 8.61641e+00,
221, 3.50798e+03, 8.58884e+00, 8.59227e+00, 8.60668e+00,
222, 3.52387e+03, 8.58752e+00, 8.58606e+00, 8.61796e+00,
223, 3.53975e+03, 8.58787e+00, 8.58253e+00, 8.60864e+00,
224, 3.55562e+03, 8.58852e+00, 8.58706e+00, 8.61517e+00,
225, 3.57148e+03, 8.58699e+00, 8.58994e+00, 8.60554e+00,
226, 3.58735e+03, 8.58645e+00, 8.58791e+00, 8.61777e+00,
227, 3.60323e+03, 8.58611e+00, 8.58614e+00, 8.61946e+00,
228, 3.61910e+03, 8.58747e+00, 8.59098e+00, 8.61361e+00,
229, 3.63500e+03, 8.58599e+00, 8.58848e+00, 8.60884e+00,
230, 3.65089e+03, 8.58658e+00, 8.58669e+00, 8.62087e+00,
231, 3.66677e+03, 8.58759e+00, 8.58817e+00, 8.61840e+00,
232, 3.68266e+03, 8.58701e+00, 8.59025e+00, 8.60993e+00,
233, 3.69855e+03, 8.58587e+00, 8.58924e+00, 8.61141e+00,
234, 3.71445e+03, 8.58687e+00, 8.58784e+00, 8.61446e+00,
235, 3.73034e+03, 8.58804e+00, 8.58702e+00, 8.60766e+00,
236, 3.74625e+03, 8.58773e+00, 8.58915e+00, 8.61336e+00,
237, 3.76216e+03, 8.58823e+00, 8.58809e+00, 8.61470e+00,
238, 3.77808e+03, 8.58862e+00, 8.58663e+00, 8.62221e+00,
239, 3.79399e+03, 8.59003e+00, 8.58623e+00, 8.61928e+00,
240, 3.80972e+03, 8.58818e+00, 8.58293e+00, 8.60880e+00,
241, 3.82562e+03, 8.58735e+00, 8.58729e+00, 8.61388e+00,
242, 3.84151e+03, 8.58577e+00, 8.58924e+00, 8.61467e+00,
243, 3.85741e+03, 8.58669e+00, 8.58735e+00, 8.61094e+00,
244, 3.87330e+03, 8.58754e+00, 8.58830e+00, 8.61108e+00,
245, 3.88918e+03, 8.58722e+00, 8.58435e+00, 8.61042e+00,
246, 3.90507e+03, 8.58660e+00, 8.58724e+00, 8.61250e+00,
247, 3.92091e+03, 8.58823e+00, 8.58806e+00, 8.62345e+00,
248, 3.93682e+03, 8.58701e+00, 8.58994e+00, 8.61651e+00,
249, 3.95271e+03, 8.58593e+00, 8.58903e+00, 8.61759e+00,
250, 3.96860e+03, 8.58670e+00, 8.58659e+00, 8.61629e+00,
251, 3.98451e+03, 8.58798e+00, 8.58717e+00, 8.61417e+00,
252, 4.00041e+03, 8.58747e+00, 8.58965e+00, 8.61034e+00,
253, 4.01630e+03, 8.58586e+00, 8.59117e+00, 8.61603e+00,
