epoch, wall_time, smooth_loss, train_loss, val_loss,
0, 1.24749e+01, 1.02946e+01, 8.67377e+00, 8.69050e+00,
1, 2.85157e+01, 9.61209e+00, 8.66279e+00, 8.66839e+00,
2, 4.44286e+01, 9.20024e+00, 8.62308e+00, 8.64378e+00,
3, 6.03476e+01, 8.95737e+00, 8.61735e+00, 8.63386e+00,
4, 7.59800e+01, 8.82315e+00, 8.62612e+00, 8.64229e+00,
5, 9.19215e+01, 8.74825e+00, 8.67764e+00, 8.68013e+00,
6, 1.07820e+02, 8.69906e+00, 8.65063e+00, 8.65098e+00,
7, 1.23528e+02, 8.66356e+00, 8.61303e+00, 8.62404e+00,
8, 1.39322e+02, 8.66845e+00, 8.62066e+00, 8.63791e+00,
9, 1.55145e+02, 8.64829e+00, 8.61353e+00, 8.63534e+00,
10, 1.70931e+02, 8.63398e+00, 8.62104e+00, 8.62773e+00,
11, 1.86717e+02, 8.62543e+00, 8.60978e+00, 8.62449e+00,
12, 2.02425e+02, 8.61886e+00, 8.88235e+00, 8.74745e+00,
13, 2.18203e+02, 8.63256e+00, 8.62023e+00, 8.63222e+00,
14, 2.34011e+02, 8.62601e+00, 8.62791e+00, 8.64094e+00,
15, 2.49734e+02, 8.62390e+00, 8.61478e+00, 8.62889e+00,
16, 2.65493e+02, 8.61867e+00, 8.61089e+00, 8.62832e+00,
17, 2.81282e+02, 8.61564e+00, 8.61021e+00, 8.63640e+00,
18, 2.97031e+02, 8.65042e+00, 8.62805e+00, 8.65710e+00,
19, 3.12762e+02, 8.63731e+00, 8.61943e+00, 8.64753e+00,
20, 3.28543e+02, 8.62671e+00, 8.61295e+00, 8.63104e+00,
21, 3.44294e+02, 8.62006e+00, 8.61393e+00, 8.63529e+00,
22, 3.60029e+02, 8.61551e+00, 8.60293e+00, 8.62057e+00,
23, 3.75794e+02, 8.61303e+00, 8.60587e+00, 8.64057e+00,
24, 3.91552e+02, 8.61010e+00, 8.61425e+00, 8.63773e+00,
25, 4.07282e+02, 8.62725e+00, 8.61500e+00, 8.63481e+00,
26, 4.22985e+02, 8.61907e+00, 8.60435e+00, 8.62831e+00,
27, 4.38710e+02, 8.61207e+00, 8.60338e+00, 8.62602e+00,
28, 4.54423e+02, 8.60822e+00, 8.60957e+00, 8.63501e+00,
29, 4.70138e+02, 8.60790e+00, 8.61431e+00, 8.62688e+00,
30, 4.85865e+02, 8.60466e+00, 8.60392e+00, 8.62219e+00,
31, 5.01599e+02, 8.60331e+00, 8.61085e+00, 8.64920e+00,
32, 5.17343e+02, 8.60329e+00, 8.61285e+00, 8.63199e+00,
33, 5.33084e+02, 8.60654e+00, 8.61014e+00, 8.64920e+00,
34, 5.48810e+02, 8.61707e+00, 8.60565e+00, 8.63179e+00,
35, 5.64567e+02, 8.61229e+00, 8.60968e+00, 8.62746e+00,
36, 5.80323e+02, 8.61891e+00, 8.61123e+00, 8.61995e+00,
37, 5.96073e+02, 8.61287e+00, 8.60507e+00, 8.63633e+00,
38, 6.11811e+02, 8.61522e+00, 8.59767e+00, 8.61687e+00,
39, 6.27536e+02, 8.61310e+00, 8.60234e+00, 8.63372e+00,
40, 6.43287e+02, 8.60954e+00, 8.60358e+00, 8.63455e+00,
41, 6.59028e+02, 8.60910e+00, 8.59885e+00, 8.63126e+00,
42, 6.74782e+02, 8.60769e+00, 8.64043e+00, 8.65837e+00,
