epoch, wall_time, smooth_loss, train_loss, train_std_dev, val_loss, val_std_dev
0, 4.79609e-01, 4.52656e+00, 4.47386e+00, 7.06872e-02, 4.99263e+00, 8.08312e-02
1, 9.63940e-01, 4.51677e+00, 4.42942e+00, 1.15375e-01, 4.92639e+00, 1.31466e-01
2, 1.42391e+00, 4.50183e+00, 4.32682e+00, 2.18964e-01, 4.80110e+00, 2.48482e-01
3, 1.88528e+00, 4.48223e+00, 4.22768e+00, 3.22384e-01, 4.60704e+00, 3.68146e-01
4, 2.34574e+00, 4.45092e+00, 3.99712e+00, 4.72163e-01, 4.30820e+00, 5.36193e-01
5, 2.80582e+00, 4.40516e+00, 3.70541e+00, 6.81475e-01, 3.87693e+00, 7.71719e-01
6, 3.26494e+00, 4.33538e+00, 3.22478e+00, 9.69232e-01, 3.29558e+00, 1.09691e+00
7, 3.72529e+00, 4.23306e+00, 2.56820e+00, 1.45944e+00, 2.56701e+00, 1.65925e+00
8, 4.18597e+00, 4.11237e+00, 2.13337e+00, 1.66010e+00, 1.91253e+00, 1.88151e+00
9, 4.64420e+00, 3.96874e+00, 1.59258e+00, 1.65907e+00, 1.51524e+00, 1.89376e+00
10, 5.10036e+00, 3.81916e+00, 1.33969e+00, 1.53901e+00, 1.28036e+00, 1.74694e+00
11, 5.55632e+00, 3.67149e+00, 1.22161e+00, 1.41021e+00, 1.10487e+00, 1.60158e+00
12, 6.01209e+00, 3.52345e+00, 1.06485e+00, 1.32516e+00, 9.71639e-01, 1.49236e+00
13, 6.46823e+00, 3.37884e+00, 9.76014e-01, 1.21151e+00, 8.89449e-01, 1.38380e+00
14, 6.92337e+00, 3.23768e+00, 8.90878e-01, 1.12953e+00, 8.19712e-01, 1.29238e+00
15, 7.37939e+00, 3.10237e+00, 8.52688e-01, 1.08082e+00, 7.92859e-01, 1.23339e+00
16, 7.83509e+00, 2.97441e+00, 8.47469e-01, 1.01818e+00, 7.93131e-01, 1.17329e+00
17, 8.29123e+00, 2.85209e+00, 8.18993e-01, 9.82185e-01, 7.70701e-01, 1.11136e+00
18, 8.74637e+00, 2.73581e+00, 8.03556e-01, 9.47550e-01, 7.54459e-01, 1.06965e+00
19, 9.20151e+00, 2.62574e+00, 7.96931e-01, 9.31877e-01, 7.52663e-01, 1.06974e+00
20, 9.65677e+00, 2.52184e+00, 7.96308e-01, 9.37456e-01, 7.62640e-01, 1.06515e+00
21, 1.01110e+01, 2.42367e+00, 7.94350e-01, 9.04272e-01, 7.49335e-01, 1.02889e+00
22, 1.05673e+01, 2.33034e+00, 7.81387e-01, 8.93226e-01, 7.45451e-01, 1.02195e+00
23, 1.10242e+01, 2.24160e+00, 7.70084e-01, 8.74777e-01, 7.50489e-01, 9.84076e-01
24, 1.14836e+01, 2.15813e+00, 7.74211e-01, 8.75832e-01, 7.43207e-01, 9.92317e-01
25, 1.19395e+01, 2.07887e+00, 7.65531e-01, 8.63459e-01, 7.30270e-01, 9.86297e-01
26, 1.23936e+01, 2.00389e+00, 7.61983e-01, 8.72490e-01, 7.42665e-01, 9.99316e-01
27, 1.28482e+01, 1.93412e+00, 7.79948e-01, 8.58774e-01, 7.52410e-01, 9.86455e-01
28, 1.33026e+01, 1.86743e+00, 7.64037e-01, 8.64332e-01, 7.38075e-01, 9.74718e-01
29, 1.37583e+01, 1.80431e+00, 7.60739e-01, 8.56155e-01, 7.37674e-01, 9.85790e-01
30, 1.42142e+01, 1.74530e+00, 7.70862e-01, 8.45061e-01, 7.35055e-01, 9.65500e-01
31, 1.46718e+01, 1.68872e+00, 7.54826e-01, 8.44823e-01, 7.35518e-01, 9.50204e-01
32, 1.51285e+01, 1.63500e+00, 7.48788e-01, 8.40412e-01, 7.35344e-01, 9.52571e-01
33, 1.55847e+01, 1.58421e+00, 7.46857e-01, 8.28235e-01, 7.28163e-01, 9.53559e-01
34, 1.60418e+01, 1.53660e+00, 7.52639e-01, 8.35048e-01, 7.35254e-01, 9.43332e-01
35, 1.64907e+01, 1.49138e+00, 7.47445e-01, 8.32180e-01, 7.21410e-01, 9.39382e-01
36, 1.69399e+01, 1.44840e+00, 7.41822e-01, 8.31040e-01, 7.22702e-01, 9.47312e-01
37, 1.73924e+01, 1.40805e+00, 7.45403e-01, 8.26159e-01, 7.28359e-01, 9.49458e-01
38, 1.78441e+01, 1.36976e+00, 7.41578e-01, 8.15485e-01, 7.23572e-01, 9.31816e-01
39, 1.82933e+01, 1.33251e+00, 7.21406e-01, 8.22711e-01, 7.18486e-01, 9.45653e-01
40, 1.87417e+01, 1.29762e+00, 7.26005e-01, 8.32362e-01, 7.29199e-01, 9.43745e-01
41, 1.91890e+01, 1.26597e+00, 7.49135e-01, 8.20788e-01, 7.07451e-01, 9.35967e-01
42, 1.96366e+01, 1.23543e+00, 7.37116e-01, 8.10122e-01, 7.09452e-01, 9.13855e-01
43, 2.00844e+01, 1.20588e+00, 7.23895e-01, 8.07862e-01, 7.11950e-01, 9.15412e-01
44, 2.05318e+01, 1.17874e+00, 7.37356e-01, 8.06757e-01, 7.09490e-01, 9.18474e-01
45, 2.09804e+01, 1.15219e+00, 7.19934e-01, 8.00126e-01, 7.16977e-01, 9.12836e-01
46, 2.14283e+01, 1.12763e+00, 7.29190e-01, 8.04121e-01, 7.19953e-01, 9.22686e-01
47, 2.18756e+01, 1.10430e+00, 7.26372e-01, 7.91015e-01, 7.14703e-01, 8.99296e-01
48, 2.23239e+01, 1.08246e+00, 7.29259e-01, 8.04940e-01, 7.13150e-01, 9.23141e-01
49, 2.27706e+01, 1.06142e+00, 7.21998e-01, 7.89366e-01, 7.13986e-01, 9.09239e-01
50, 2.32188e+01, 1.04092e+00, 7.09987e-01, 7.89354e-01, 7.12038e-01, 8.97059e-01
51, 2.36662e+01, 1.02232e+00, 7.23747e-01, 7.95373e-01, 7.10421e-01, 9.03016e-01
52, 2.41131e+01, 1.00507e+00, 7.29079e-01, 7.85978e-01, 7.11426e-01, 8.76021e-01
53, 2.45602e+01, 9.88082e-01, 7.16311e-01, 7.89737e-01, 7.09719e-01, 9.04950e-01
54, 2.50082e+01, 9.72163e-01, 7.18426e-01, 7.91602e-01, 6.98339e-01, 8.93796e-01
55, 2.54557e+01, 9.57326e-01, 7.21699e-01, 7.98014e-01, 7.06306e-01, 8.98679e-01
56, 2.59036e+01, 9.42898e-01, 7.13617e-01, 8.08953e-01, 7.23857e-01, 9.20780e-01
57, 2.63510e+01, 9.28834e-01, 7.05707e-01, 7.74199e-01, 7.03965e-01, 8.93822e-01
58, 2.67997e+01, 9.15005e-01, 6.95630e-01, 7.71963e-01, 6.97820e-01, 8.89557e-01
59, 2.72479e+01, 9.02640e-01, 7.07792e-01, 7.79443e-01, 7.00194e-01, 9.09047e-01
60, 2.76973e+01, 8.90948e-01, 7.07218e-01, 7.83860e-01, 7.18208e-01, 9.12648e-01
61, 2.81452e+01, 8.80128e-01, 7.11284e-01, 7.71108e-01, 6.96352e-01, 8.73648e-01
62, 2.85930e+01, 8.69812e-01, 7.09661e-01, 7.77402e-01, 6.82685e-01, 8.91830e-01
63, 2.90410e+01, 8.59378e-01, 6.96685e-01, 7.59369e-01, 6.95481e-01, 8.85008e-01
64, 2.94890e+01, 8.49314e-01, 6.92812e-01, 7.74121e-01, 6.89980e-01, 8.80747e-01
65, 2.99377e+01, 8.40112e-01, 6.98024e-01, 7.67626e-01, 6.92892e-01, 8.62741e-01
66, 3.03864e+01, 8.31371e-01, 6.97290e-01, 7.87374e-01, 7.06605e-01, 8.95634e-01
67, 3.08343e+01, 8.22780e-01, 6.90888e-01, 7.71441e-01, 7.01327e-01, 8.73961e-01
68, 3.12852e+01, 8.14582e-01, 6.89367e-01, 7.62524e-01, 6.91769e-01, 8.61640e-01
69, 3.17364e+01, 8.06885e-01, 6.90088e-01, 7.55976e-01, 6.86664e-01, 8.62497e-01
70, 3.21862e+01, 7.99474e-01, 6.87377e-01, 7.50862e-01, 6.94822e-01, 8.44184e-01
71, 3.26374e+01, 7.92349e-01, 6.85023e-01, 7.51202e-01, 6.88954e-01, 8.44065e-01
72, 3.30865e+01, 7.86021e-01, 6.91884e-01, 7.45076e-01, 6.97690e-01, 8.44866e-01
73, 3.35347e+01, 7.79952e-01, 6.90244e-01, 7.67257e-01, 6.97305e-01, 8.69860e-01
74, 3.39840e+01, 7.74599e-01, 6.96973e-01, 7.40728e-01, 6.86690e-01, 8.39094e-01
75, 3.44326e+01, 7.68386e-01, 6.75798e-01, 7.49288e-01, 6.85040e-01, 8.55414e-01
76, 3.48813e+01, 7.63034e-01, 6.85163e-01, 7.50801e-01, 6.95094e-01, 8.56895e-01
77, 3.53295e+01, 7.57812e-01, 6.82011e-01, 7.40194e-01, 6.77444e-01, 8.56110e-01
78, 3.57785e+01, 7.52652e-01, 6.77926e-01, 7.53914e-01, 6.78249e-01, 8.45713e-01
79, 3.62307e+01, 7.47528e-01, 6.73354e-01, 7.59192e-01, 6.87979e-01, 8.67363e-01
80, 3.66836e+01, 7.42685e-01, 6.73193e-01, 7.58944e-01, 6.88714e-01, 8.65398e-01
81, 3.71361e+01, 7.38597e-01, 6.81930e-01, 7.45849e-01, 6.69992e-01, 8.35776e-01
82, 3.75883e+01, 7.34692e-01, 6.80920e-01, 7.53563e-01, 6.87877e-01, 8.47868e-01
83, 3.80361e+01, 7.30448e-01, 6.70964e-01, 7.53992e-01, 6.84573e-01, 8.72933e-01
84, 3.84847e+01, 7.26505e-01, 6.72093e-01, 7.41078e-01, 6.83015e-01, 8.42740e-01
85, 3.89333e+01, 7.23273e-01, 6.80737e-01, 7.39165e-01, 6.78511e-01, 8.39294e-01
86, 3.93816e+01, 7.19984e-01, 6.76387e-01, 7.42984e-01, 6.79421e-01, 8.52988e-01
87, 3.98302e+01, 7.16752e-01, 6.74227e-01, 7.34787e-01, 6.90258e-01, 8.47819e-01
88, 4.02782e+01, 7.13347e-01, 6.67718e-01, 7.34185e-01, 6.81311e-01, 8.26286e-01
89, 4.07260e+01, 7.10406e-01, 6.72889e-01, 7.36120e-01, 6.84177e-01, 8.30759e-01
90, 4.11747e+01, 7.07264e-01, 6.66074e-01, 7.53526e-01, 6.75178e-01, 8.63379e-01
91, 4.16230e+01, 7.04541e-01, 6.70776e-01, 7.34882e-01, 6.78073e-01, 8.39228e-01
92, 4.20717e+01, 7.01609e-01, 6.63856e-01, 7.42046e-01, 6.69261e-01, 8.49218e-01
93, 4.25201e+01, 6.99104e-01, 6.68634e-01, 7.42117e-01, 6.81577e-01, 8.47381e-01
94, 4.29689e+01, 6.96247e-01, 6.59872e-01, 7.38075e-01, 6.74069e-01, 8.31326e-01
95, 4.34170e+01, 6.93478e-01, 6.58742e-01, 7.39466e-01, 6.74714e-01, 8.37679e-01
96, 4.38649e+01, 6.91078e-01, 6.62185e-01, 7.40462e-01, 6.81520e-01, 8.34916e-01
97, 4.43138e+01, 6.88126e-01, 6.50024e-01, 7.24511e-01, 6.82519e-01, 8.27513e-01
98, 4.47620e+01, 6.85221e-01, 6.47859e-01, 7.24860e-01, 6.82018e-01, 8.20671e-01
99, 4.52104e+01, 6.83040e-01, 6.57818e-01, 7.40090e-01, 6.78320e-01, 8.39435e-01
100, 4.56589e+01, 6.81455e-01, 6.66664e-01, 7.32560e-01, 6.79335e-01, 8.38852e-01
101, 4.61082e+01, 6.79122e-01, 6.51189e-01, 7.42192e-01, 6.65838e-01, 8.55082e-01
102, 4.65570e+01, 6.77257e-01, 6.57242e-01, 7.17513e-01, 6.70923e-01, 8.21852e-01
103, 4.70049e+01, 6.75494e-01, 6.57194e-01, 7.18654e-01, 6.57035e-01, 8.08851e-01
104, 4.74551e+01, 6.74197e-01, 6.63890e-01, 7.15430e-01, 6.70479e-01, 8.08211e-01
105, 4.79039e+01, 6.72302e-01, 6.51861e-01, 7.18328e-01, 6.69636e-01, 8.06877e-01
106, 4.83526e+01, 6.70518e-01, 6.51807e-01, 7.22659e-01, 6.65933e-01, 8.17766e-01
107, 4.88009e+01, 6.68514e-01, 6.46194e-01, 7.27597e-01, 6.61823e-01, 8.48186e-01
108, 4.92487e+01, 6.66742e-01, 6.48195e-01, 7.20703e-01, 6.61570e-01, 8.23545e-01
109, 4.96961e+01, 6.65096e-01, 6.48748e-01, 7.12712e-01, 6.76653e-01, 8.01320e-01
110, 5.01433e+01, 6.63636e-01, 6.50570e-01, 7.31538e-01, 6.75344e-01, 8.38809e-01
111, 5.05918e+01, 6.62596e-01, 6.56750e-01, 7.11876e-01, 6.58067e-01, 8.14933e-01
112, 5.10396e+01, 6.60622e-01, 6.38840e-01, 7.14523e-01, 6.65150e-01, 8.08625e-01
113, 5.14873e+01, 6.59499e-01, 6.52124e-01, 7.16608e-01, 6.69843e-01, 8.17324e-01
114, 5.19359e+01, 6.58330e-01, 6.50037e-01, 7.13502e-01, 6.67028e-01, 8.18506e-01
115, 5.23865e+01, 6.56790e-01, 6.42176e-01, 7.10896e-01, 6.63464e-01, 7.95230e-01
116, 5.28383e+01, 6.55311e-01, 6.41976e-01, 7.21806e-01, 6.68542e-01, 8.03034e-01
117, 5.32865e+01, 6.54029e-01, 6.43802e-01, 7.16302e-01, 6.57140e-01, 8.18708e-01
118, 5.37355e+01, 6.52986e-01, 6.46547e-01, 7.11726e-01, 6.54798e-01, 8.02797e-01
119, 5.41858e+01, 6.51916e-01, 6.45380e-01, 7.25667e-01, 6.58226e-01, 8.25593e-01
120, 5.46361e+01, 6.50971e-01, 6.46191e-01, 7.07321e-01, 6.61037e-01, 7.97982e-01
121, 5.50859e+01, 6.49887e-01, 6.42833e-01, 7.04908e-01, 6.60513e-01, 8.09662e-01
122, 5.55582e+01, 6.48882e-01, 6.43288e-01, 7.14943e-01, 6.66673e-01, 8.08474e-01
123, 5.60250e+01, 6.47882e-01, 6.42386e-01, 7.02049e-01, 6.64537e-01, 8.08258e-01
124, 5.64865e+01, 6.46682e-01, 6.37645e-01, 7.06813e-01, 6.59213e-01, 7.98841e-01
125, 5.69399e+01, 6.45247e-01, 6.32321e-01, 7.03958e-01, 6.58856e-01, 8.02169e-01
126, 5.74058e+01, 6.43779e-01, 6.30326e-01, 6.98549e-01, 6.54460e-01, 7.77297e-01
127, 5.78669e+01, 6.42682e-01, 6.35142e-01, 7.18226e-01, 6.52709e-01, 8.14131e-01
128, 5.83257e+01, 6.41669e-01, 6.35750e-01, 7.03379e-01, 6.63364e-01, 8.07044e-01
129, 5.87843e+01, 6.40278e-01, 6.27581e-01, 7.10952e-01, 6.64826e-01, 8.06808e-01
130, 5.92434e+01, 6.39659e-01, 6.40438e-01, 7.02188e-01, 6.47614e-01, 7.78416e-01
131, 5.97025e+01, 6.38734e-01, 6.34200e-01, 7.01608e-01, 6.48354e-01, 8.12726e-01
132, 6.01620e+01, 6.37891e-01, 6.34866e-01, 6.98391e-01, 6.48876e-01, 8.03796e-01
133, 6.06277e+01, 6.36941e-01, 6.31847e-01, 7.05202e-01, 6.49907e-01, 8.06393e-01
134, 6.10908e+01, 6.35816e-01, 6.27845e-01, 7.20151e-01, 6.54097e-01, 8.14885e-01
135, 6.15453e+01, 6.35306e-01, 6.37869e-01, 6.98495e-01, 6.44338e-01, 7.97352e-01
136, 6.19993e+01, 6.34246e-01, 6.27286e-01, 7.11683e-01, 6.52934e-01, 8.24833e-01
137, 6.24559e+01, 6.33250e-01, 6.27403e-01, 6.95303e-01, 6.56739e-01, 8.00938e-01
138, 6.29094e+01, 6.32584e-01, 6.32302e-01, 7.16990e-01, 6.59009e-01, 8.16140e-01
139, 6.33606e+01, 6.31404e-01, 6.22501e-01, 6.85400e-01, 6.50951e-01, 7.74551e-01
