epoch, wall_time, smooth_loss, train_loss, train_std_dev, val_loss, val_std_dev
56, 8.47907e+01, 9.65226e-01, 7.24733e-01, 8.28372e-01, 6.84858e-01, 9.54424e-01
57, 8.62557e+01, 9.51942e-01, 7.42473e-01, 8.30245e-01, 6.81697e-01, 9.52345e-01
58, 8.76989e+01, 9.39029e-01, 7.35120e-01, 8.26121e-01, 6.75056e-01, 9.40334e-01
59, 8.91874e+01, 9.26056e-01, 7.21203e-01, 8.37389e-01, 6.94403e-01, 9.56422e-01
60, 9.06705e+01, 9.14085e-01, 7.26149e-01, 8.28832e-01, 6.68424e-01, 9.51863e-01
61, 9.21956e+01, 9.03128e-01, 7.32373e-01, 8.19893e-01, 6.75947e-01, 9.39604e-01
62, 9.36781e+01, 8.92187e-01, 7.21512e-01, 8.24963e-01, 6.64607e-01, 9.40702e-01
63, 9.52010e+01, 8.82675e-01, 7.36325e-01, 8.30333e-01, 6.73145e-01, 9.50190e-01
64, 9.66629e+01, 8.73395e-01, 7.30937e-01, 8.09572e-01, 6.75818e-01, 9.20584e-01
65, 9.81438e+01, 8.64539e-01, 7.29136e-01, 8.20285e-01, 6.78524e-01, 9.33607e-01
66, 9.95934e+01, 8.56305e-01, 7.31128e-01, 8.06157e-01, 6.74857e-01, 9.32074e-01
67, 1.01083e+02, 8.47737e-01, 7.16553e-01, 8.11691e-01, 6.70846e-01, 9.41307e-01
68, 1.02523e+02, 8.39611e-01, 7.15942e-01, 8.02795e-01, 6.73341e-01, 9.12930e-01
69, 1.03978e+02, 8.32323e-01, 7.22790e-01, 8.01688e-01, 6.62570e-01, 9.17436e-01
70, 1.05422e+02, 8.24469e-01, 7.05197e-01, 8.00314e-01, 6.79984e-01, 9.15312e-01
71, 1.06874e+02, 8.18240e-01, 7.26616e-01, 8.03466e-01, 6.66914e-01, 9.06112e-01
72, 1.08302e+02, 8.11464e-01, 7.10323e-01, 8.04158e-01, 6.63961e-01, 9.33065e-01
73, 1.09784e+02, 8.05701e-01, 7.21468e-01, 8.08996e-01, 6.82208e-01, 9.13172e-01
74, 1.11219e+02, 7.99792e-01, 7.13190e-01, 8.00539e-01, 6.78420e-01, 9.27783e-01
75, 1.12705e+02, 7.94545e-01, 7.18845e-01, 8.00557e-01, 6.82614e-01, 9.16625e-01
76, 1.14161e+02, 7.89542e-01, 7.18047e-01, 7.93396e-01, 6.74143e-01, 9.18175e-01
77, 1.15608e+02, 7.84450e-01, 7.11701e-01, 7.96344e-01, 6.79527e-01, 9.14006e-01
78, 1.17016e+02, 7.79712e-01, 7.12695e-01, 7.99551e-01, 6.71201e-01, 9.10675e-01
79, 1.18448e+02, 7.74970e-01, 7.07754e-01, 7.96743e-01, 6.64793e-01, 9.14696e-01
80, 1.19877e+02, 7.70364e-01, 7.05277e-01, 7.93733e-01, 6.70648e-01, 9.14189e-01
81, 1.21330e+02, 7.66369e-01, 7.11447e-01, 7.90532e-01, 6.68138e-01, 9.06234e-01
82, 1.22787e+02, 7.62574e-01, 7.11287e-01, 7.80869e-01, 6.89043e-01, 9.14618e-01
83, 1.24249e+02, 7.59239e-01, 7.15623e-01, 7.88530e-01, 6.58508e-01, 8.98326e-01
84, 1.25683e+02, 7.55303e-01, 7.01728e-01, 7.80453e-01, 6.69925e-01, 8.93862e-01
85, 1.27048e+02, 7.51838e-01, 7.05901e-01, 7.88239e-01, 6.61691e-01, 8.92004e-01
86, 1.28498e+02, 7.48271e-01, 7.00350e-01, 8.10303e-01, 6.64508e-01, 9.17923e-01
87, 1.29949e+02, 7.45208e-01, 7.05805e-01, 8.03437e-01, 6.76943e-01, 9.15461e-01
88, 1.31368e+02, 7.42604e-01, 7.11149e-01, 7.73033e-01, 6.72307e-01, 8.80363e-01
89, 1.32802e+02, 7.40086e-01, 7.09757e-01, 7.87455e-01, 6.68115e-01, 8.97183e-01
90, 1.34280e+02, 7.37298e-01, 7.02576e-01, 7.74237e-01, 6.64561e-01, 8.86355e-01
91, 1.35830e+02, 7.35176e-01, 7.11997e-01, 7.90340e-01, 6.73994e-01, 8.80970e-01
92, 1.37241e+02, 7.32480e-01, 6.99534e-01, 7.81196e-01, 6.69471e-01, 8.95713e-01
93, 1.38685e+02, 7.30196e-01, 7.04096e-01, 7.75766e-01, 6.68603e-01, 8.80371e-01
94, 1.40215e+02, 7.27773e-01, 6.98861e-01, 7.75830e-01, 6.66506e-01, 8.92199e-01
95, 1.41679e+02, 7.26196e-01, 7.11948e-01, 7.65872e-01, 6.51568e-01, 8.73036e-01
96, 1.43092e+02, 7.24626e-01, 7.10751e-01, 7.67666e-01, 6.67518e-01, 8.93744e-01
97, 1.44587e+02, 7.22921e-01, 7.06395e-01, 7.75279e-01, 6.62938e-01, 8.88379e-01
98, 1.46020e+02, 7.20745e-01, 6.96259e-01, 7.68381e-01, 6.74622e-01, 8.85904e-01
99, 1.47451e+02, 7.18149e-01, 6.86665e-01, 7.70838e-01, 6.58563e-01, 8.66043e-01
100, 1.48890e+02, 7.16524e-01, 7.01433e-01, 7.62636e-01, 6.70978e-01, 8.85374e-01
101, 1.50320e+02, 7.14758e-01, 6.97243e-01, 7.63410e-01, 6.65538e-01, 8.79835e-01
102, 1.51757e+02, 7.13258e-01, 7.00085e-01, 7.66524e-01, 6.65301e-01, 8.73015e-01
103, 1.53201e+02, 7.11533e-01, 6.94539e-01, 7.67729e-01, 6.64110e-01, 8.87602e-01
104, 1.54645e+02, 7.10045e-01, 6.97300e-01, 7.68235e-01, 6.67755e-01, 8.81371e-01
105, 1.56103e+02, 7.08914e-01, 7.01890e-01, 7.72209e-01, 6.56931e-01, 8.91743e-01
106, 1.57531e+02, 7.07474e-01, 6.95463e-01, 7.56091e-01, 6.73130e-01, 8.58743e-01
107, 1.58952e+02, 7.06378e-01, 7.00376e-01, 7.60416e-01, 6.65664e-01, 8.67278e-01
108, 1.60394e+02, 7.05635e-01, 7.05137e-01, 7.56202e-01, 6.52865e-01, 8.60292e-01
109, 1.61836e+02, 7.03738e-01, 6.83763e-01, 7.65012e-01, 6.66366e-01, 8.76363e-01
110, 1.63236e+02, 7.02369e-01, 6.91503e-01, 7.55783e-01, 6.68305e-01, 8.58075e-01
111, 1.64715e+02, 7.01125e-01, 6.92233e-01, 7.48319e-01, 6.60047e-01, 8.45268e-01
112, 1.66156e+02, 7.00069e-01, 6.94119e-01, 7.55998e-01, 6.68935e-01, 8.59924e-01
113, 1.67594e+02, 6.98452e-01, 6.83230e-01, 7.69770e-01, 6.58073e-01, 8.75972e-01
114, 1.68996e+02, 6.97327e-01, 6.90393e-01, 7.52915e-01, 6.62067e-01, 8.62922e-01
115, 1.70434e+02, 6.95805e-01, 6.82096e-01, 7.64751e-01, 6.61019e-01, 8.76172e-01
116, 1.71916e+02, 6.94388e-01, 6.82279e-01, 7.54810e-01, 6.58431e-01, 8.74472e-01
117, 1.73378e+02, 6.93644e-01, 6.93032e-01, 7.59780e-01, 6.59340e-01, 8.77862e-01
118, 1.74833e+02, 6.93345e-01, 7.00442e-01, 7.44086e-01, 6.51819e-01, 8.74489e-01
119, 1.76268e+02, 6.92507e-01, 6.90082e-01, 7.54923e-01, 6.64158e-01, 8.58340e-01
120, 1.77751e+02, 6.91559e-01, 6.87645e-01, 7.43302e-01, 6.63469e-01, 8.59037e-01
121, 1.79205e+02, 6.90802e-01, 6.89926e-01, 7.43369e-01, 6.54210e-01, 8.42442e-01
122, 1.80672e+02, 6.89381e-01, 6.77171e-01, 7.35661e-01, 6.59108e-01, 8.46368e-01
123, 1.82169e+02, 6.88491e-01, 6.85425e-01, 7.41532e-01, 6.68383e-01, 8.52355e-01
124, 1.83651e+02, 6.87716e-01, 6.86338e-01, 7.37350e-01, 6.69725e-01, 8.35994e-01
125, 1.85146e+02, 6.86891e-01, 6.85060e-01, 7.51068e-01, 6.57774e-01, 8.69885e-01
126, 1.86640e+02, 6.86384e-01, 6.89600e-01, 7.43074e-01, 6.61807e-01, 8.43141e-01
127, 1.88133e+02, 6.85983e-01, 6.91246e-01, 7.39930e-01, 6.51489e-01, 8.45486e-01
128, 1.89581e+02, 6.84991e-01, 6.80058e-01, 7.37799e-01, 6.50165e-01, 8.30911e-01
129, 1.91040e+02, 6.84250e-01, 6.83901e-01, 7.35915e-01, 6.59123e-01, 8.41573e-01
